ranking,name,age,sector,gender,title,self_made,organization,country
2405,Fumio Kaneko,66,Service,M,,,,JPN
2405,Sunjay Kapur,51,Automotive,M,,,,IND
2405,Ali Metin Kazanci,88,Energy,M,,,,TUR
2405,Kangbao Ke & family,60,Healthcare,M,,,,CHN
2405,Carsten Koerl,58,Sports,M,"Entrepreneur, Investor",,,CHE
2405,Koo Bon-sik,64,Technology,M,,,Heesung,KOR
2405,Andrei Kosogov,62,Energy,M,,,,RUS
2405,Yogesh Kothari,74,Manufacturing,M,,,,IND
2405,Arvind Lal,73,Healthcare,M,,,,IND
2405,Manuel Lao Hernández,78,Gambling & Casinos,M,,,,ESP
2405,Lee Joong-keun,82,Construction & Engineering,M,,,Booyoung Group,KOR
2405,Nancy Lerner,62,Finance & Investments,F,,,,USA
2405,Norma Lerner,87,Finance & Investments,F,,,,USA
2405,Randolph Lerner,61,Finance & Investments,M,,,,USA
2405,Lin Zhijun,47,Healthcare,M,,,,CHN
2405,Lin Zhixiong & family,49,Healthcare,M,,,,CHN
2405,Jeffrey Lorberbaum,68,Manufacturing,M,,,,USA
2405,Lu Rongfu,52,Telecom,M,,,,CHN
2405,Lyu Yixiong,60,Fashion & Retail,M,,,,CHN
2405,Soichiro Minami,46,Technology,M,,,,JPN
2405,Pawan Munjal,68,Automotive,M,,,,IND
2405,Renu Munjal,68,Automotive,F,,,,IND
2405,Suman Munjal,70,Automotive,M,,,,IND
2405,Dmitry Nikolaev,56,Energy,M,,,,RUS
2405,Sjamsul Nursalim,81,Automotive,M,,,,SGP
2405,Adrian Paval,54,Fashion & Retail,M,,,,ROU
2405,Antonio Percassi,69,Diversified,M,,,,ITA
2405,Kevin Plank,50,Fashion & Retail,M,Chairman and CEO,,Under Armour,USA
2405,G.V. Prasad,62,Healthcare,M,,,,IND
2405,Pu Zhongjie & family,60,Healthcare,M,,,,CHN
2405,Rao Wei & family,58,Healthcare,M,,,,CHN
2405,Helena Revoredo,76,Service,F,,,,ESP
2405,Matthew Roszak,50,Finance & Investments,M,,,,USA
2405,Paul Sciarra,42,Technology,M,,,,USA
2405,Rajesh Sharma,53,Finance & Investments,M,,,,IND
2405,Dean Solon,58,Energy,M,,,,USA
2405,Michael Spencer,67,Finance & Investments,M,,,,GBR
2405,Joseph Steinberg,79,Finance & Investments,M,,,,USA
2405,Zachary Stern,41,Food & Beverage,M,,,,USA
2405,Manny Stul,73,Manufacturing,M,,,,AUS
2405,Sun Hongjun,49,Technology,M,,,,CHN
2405,Sun Weijie,59,Manufacturing,M,,,,CHN
2405,Sehat Sutardja,61,Technology,M,,,,USA
2405,Min-Liang Tan,45,Media & Entertainment,M,,,,SGP
2405,Tan Yu Yeh,52,Fashion & Retail,M,,,,MYS
2405,Tang Aoqi & family,77,Automotive,M,,,,CHN
2405,Vonnarat Tangkaravakoon,51,Manufacturing,M,,,,THA
2405,Tsao Ter-fung,76,Food & Beverage,M,,,,TWN
2405,Tung Ching Sai,58,Manufacturing,M,,,,CHN
2405,Arkady Volozh,59,Technology,M,,,,ISR
2405,Peter-Alexander Wacker,71,Manufacturing,M,,,,DEU
2405,Wan Long,82,Food & Beverage,M,,,,CHN
2405,Wang Han,35,Diversified,M,,,,CHN
2405,Lars Wingefors,46,Media & Entertainment,M,,,,SWE
2405,Allan Wong,73,Manufacturing,M,,,,HKG
2405,Tiger Woods,47,Sports,M,Athlete,,PGA,USA
2405,Horst Wortmann,81,Fashion & Retail,M,,,,DEU
2405,Wu Kaiting,53,Telecom,M,,,,CHN
2405,Wu Li-gann,82,Manufacturing,M,,,,TWN
2405,Wu Xiangdong,54,Food & Beverage,M,,,,CHN
2405,Xiu Laigui,68,Healthcare,M,,,,CHN
2405,Xu Jiangnan,61,Healthcare,M,,,,CHN
2405,Xue Jiping,72,Telecom,M,,,,CHN
2405,Yao Hsiao Tung,83,Manufacturing,M,,,,SGP
2405,Ye Qiongjiu,68,Technology,F,,,,CHN
2405,Yanqiao Ye,53,Food & Beverage,M,,,,CHN
2405,Yu Faxiang,51,Media & Entertainment,M,,,,CHN
2405,Zeng Chaolin,40,Metals & Mining,M,,,,CHN
2405,Kapeng Zhang,58,Construction & Engineering,M,,,,CHN
2405,Zhang Xuansong,51,Fashion & Retail,M,,,,CHN
2405,Zhang Xuewu,48,Food & Beverage,M,,,,CHN
2405,Zhu Yiming,50,Technology,M,,,,CHN
2405,Zhu Zhaojiang,49,Manufacturing,M,,,,CHN
2405,Zhuo Jun,57,Manufacturing,F,,,,HKG
2540,Manohar Lal Agarwal,68,Food & Beverage,M,,,,IND
2540,Christian Angermayer,44,Finance & Investments,M,,,,GBR
2540,Ryuji Arai,76,Fashion & Retail,M,,,,JPN
2540,Anna Maria Braun,44,Healthcare,F,,,,DEU
2540,Johanna Braun,43,Healthcare,F,,,,DEU
2540,Karl Friedrich Braun,40,Healthcare,M,,,,DEU
2540,Ludwig Theodor Braun,33,Healthcare,M,,,,DEU
2540,Ana Maria Brescia Cafferata,98,Diversified,F,,,,PER
2540,Jimmy Buffett,76,Media & Entertainment,M,Musician,,,USA
2540,Hideyuki Busujima,70,Gambling & Casinos,M,,,,JPN
2540,Chen Jiancheng,64,Manufacturing,M,,,,CHN
2540,Rui Chen,45,Media & Entertainment,M,,,,CHN
2540,Chen Shiliang,59,Manufacturing,M,,,,CHN
2540,Tianqiao Chen,49,Technology,M,,,,USA
2540,Yuantai Chen,55,Energy,M,,,,CHN
2540,Cheng Antares,65,Food & Beverage,M,,,,HKG
2540,Kochouseph Chittilappilly,72,Manufacturing,M,,,,IND
2540,John Christodoulou,57,Real Estate,M,,,,MCO
2540,Pollyanna Chu,64,Finance & Investments,F,,,,HKG
2540,Turgay Ciner,67,Diversified,M,,,,TUR
2540,Benoit Dageville,56,Technology,M,,,,USA
2540,Mark Dixon,63,Real Estate,M,,,,MCO
2540,Du Yulin & family,50,Technology,M,,,,CHN
2540,Feng Yuxia,58,Healthcare,F,,,,CHN
2540,Benedicte Find,68,Healthcare,F,,,,DNK
2540,William Fisher,66,Fashion & Retail,M,Director,,Gap Inc.,USA
2540,Gao Yunfeng,56,Manufacturing,M,,,,CHN
2540,Jianming Geng,60,Real Estate,M,,,,CHN
2540,Sven Hagströmer,79,Finance & Investments,M,,,,SWE
2540,Clelia Haji-Ioannou,52,Service,F,,,,MCO
2540,Stelios Haji-Ioannou,56,Service,M,,,,MCO
2540,Hang Hong,55,Manufacturing,F,,,,CHN
2540,He Yamin & family,66,Manufacturing,M,,,,CHN
2540,Ghan Djoe Hiang,79,Energy,F,,,,IDN
2540,Hong Feng,46,Technology,M,,,,CHN
2540,Hong Seok-joh,70,Fashion & Retail,M,,,BGF Co. Ltd.,KOR
2540,Hu Gengxi & family,59,Healthcare,M,,,,CHN
2540,Danilo Iervolino,45,Technology,M,,,,ITA
2540,Hedda im Brahm-Droege,68,Finance & Investments,F,,,,DEU
2540,Inder Jaisinghani,70,Manufacturing,M,,,,IND
2540,LeBron James,38,Sports,M,Athlete,,NBA,USA
2540,Morris Kahn,93,Technology,M,,,,ISR
2540,Ashok Kajaria,75,Manufacturing,M,,,,IND
2540,Marcelo Kalim,53,Finance & Investments,M,,,,BRA
2540,Ken Kendrick,79,Sports,M,,,,USA
2540,Brad Keywell,53,Technology,M,,,,USA
2540,Muhammed Aziz Khan,68,Energy,M,,,,SGP
2540,Kim Jung-woong,48,Fashion & Retail,M,,,,KOR
2540,Ihor Kolomoyskyy,60,Diversified,M,,,,UKR
2540,Kong Jian Min,55,Real Estate,M,,,,CHN
2540,Koo Bon-neung,74,Manufacturing,M,,,Heesung Electronics,KOR
2540,Michael Kum,78,Real Estate,M,,,,SGP
2540,Richard Kurtz,82,Real Estate,M,,,,USA
2540,Lev Kvetnoi,57,Finance & Investments,M,,,,RUS
2540,Michiel Le Roux,73,Finance & Investments,M,,,,ZAF
2540,Li Wanqiang,45,Technology,M,,,,CHN
2540,Liu Baolin,69,Fashion & Retail,M,,,,CHN
2540,Loo Choon Yong,74,Healthcare,M,,,,SGP
2540,Lu Yonghua & family,59,Technology,M,,,,CHN
2540,Ma Xiuhui,52,Manufacturing,F,,,,CHN
2540,Apoorva Mehta,36,Technology,M,Founder,,Instacart,USA
2540,Ulrike Meister,56,Manufacturing,F,,,,DEU
2540,Andrei Molchanov,51,Construction & Engineering,M,,,,RUS
2540,Fulvio Montipò & family,78,Manufacturing,M,,,,ITA
2540,Tyler Perry,53,Media & Entertainment,M,Director,,Television,USA
2540,Vera Rechulski Santo Domingo,74,Food & Beverage,F,,,,BMU
2540,George Sakellaris,76,Energy,M,,,,USA
2540,Eddy Kusnadi Sariaatmadja,69,Media & Entertainment,M,,,,IDN
2540,Neerja Sethi,68,Technology,F,,,,USA
2540,Scott Smith,73,Technology,M,,,,USA
2540,Ivan Streshinsky,53,Diversified,M,,,,RUS
2540,Sergei Sudarikov,51,Finance & Investments,M,,,,RUS
2540,Wijono Tanoko,70,Manufacturing,M,,,,IDN
2540,Haryanto Tjiptodihardjo,59,Manufacturing,M,,,,IDN
2540,David Tran & family,77,Food & Beverage,M,,,,USA
2540,Kenzo Tsujimoto,82,Media & Entertainment,M,,,,JPN
2540,Murat Vargi,75,Telecom,M,,,,TUR
2540,Shigefumi Wada,70,Technology,M,,,,JPN
2540,Wan Feng & family,54,Healthcare,M,,,,CHN
2540,Wang Jianfeng & family,53,Automotive,M,,,,CHN
2540,V. Prem Watsa,72,Finance & Investments,M,,,,CAN
2540,Wen Pengcheng & family,60,Food & Beverage,M,,,,CHN
2540,Toto Wolff,51,Sports,M,,,,MCO
2540,Xie Bingzheng & family,54,Fashion & Retail,M,,,,CHN
2540,Xu Gang,59,Manufacturing,M,,,,CHN
2540,Yan Junxu,53,Manufacturing,M,,,,CHN
2540,Yi Xianzhong & family,63,Healthcare,M,,,,CHN
2540,Yu Rong,51,Healthcare,M,,,,CHN
2540,"Richard Yuengling, Jr.",80,Food & Beverage,M,,,,USA
2540,Zhang Gongyun,60,Manufacturing,M,,,,CHN
2540,Zhang Guiping & family,71,Real Estate,M,,,,CHN
2540,Inigo Zobel,66,Diversified,M,,,,PHL
